id,team_a_id,team_a_result,team_b_id,team_b_result,datetime_game,phase,status,placeholder_a,placeholder_b
27,GER,,CIV,,2026-06-20 17:00,Grupos,,,
28,ECU,,CUW,,2026-06-20 21:00,Grupos,,,
34,TUN,,JPN,,2026-06-21 01:00,Grupos,,,
45,ESP,,KSA,,2026-06-21 13:00,Grupos,,,
39,BEL,,IRN,,2026-06-21 16:00,Grupos,,,
46,URU,,CPV,,2026-06-21 19:00,Grupos,,,
40,NZL,,EGY,,2026-06-21 22:00,Grupos,,,
57,ARG,,AUT,,2026-06-22 14:00,Grupos,,,
51,FRA,,IRQ,,2026-06-22 18:00,Grupos,,,
52,NOR,,SEN,,2026-06-22 21:00,Grupos,,,
58,JOR,,ALG,,2026-06-23 00:00,Grupos,,,
63,POR,,UZB,,2026-06-23 14:00,Grupos,,,
69,ENG,,GHA,,2026-06-23 17:00,Grupos,,,
70,PAN,,CRO,,2026-06-23 20:00,Grupos,,,
64,COL,,COD,,2026-06-23 23:00,Grupos,,,
11,SUI,,CAN,,2026-06-24 16:00,Grupos,,,
12,BIH,,QAT,,2026-06-24 16:00,Grupos,,,
17,MAR,,HAI,,2026-06-24 19:00,Grupos,,,
18,SCO,,BRA,,2026-06-24 19:00,Grupos,,,
5,CZE,,MEX,,2026-06-24 22:00,Grupos,,,
6,RSA,,KOR,,2026-06-24 22:00,Grupos,,,
29,ECU,,GER,,2026-06-25 17:00,Grupos,,,
30,CUW,,CIV,,2026-06-25 17:00,Grupos,,,
35,TUN,,NED,,2026-06-25 20:00,Grupos,,,
36,JPN,,SWE,,2026-06-25 20:00,Grupos,,,
23,PAR,,AUS,,2026-06-25 23:00,Grupos,,,
24,TUR,,USA,,2026-06-25 23:00,Grupos,,,
53,SEN,,IRQ,,2026-06-26 16:00,Grupos,,,
54,NOR,,FRA,,2026-06-26 16:00,Grupos,,,
47,CPV,,KSA,,2026-06-26 21:00,Grupos,,,
48,URU,,ESP,,2026-06-26 21:00,Grupos,,,
41,EGY,,IRN,,2026-06-27 00:00,Grupos,,,
42,NZL,,BEL,,2026-06-27 00:00,Grupos,,,
71,CRO,,GHA,,2026-06-27 18:00,Grupos,,,
72,PAN,,ENG,,2026-06-27 18:00,Grupos,,,
65,COD,,UZB,,2026-06-27 20:30,Grupos,,,
66,COL,,POR,,2026-06-27 20:30,Grupos,,,
59,JOR,,ARG,,2026-06-27 23:00,Grupos,,,
60,ALG,,AUT,,2026-06-27 23:00,Grupos,,,
73,,,,,2026-06-28 16:00,16 Avos de Final,,2A,2B
76,,,,,2026-06-29 14:00,16 Avos de Final,,1C,2F
74,,,,,2026-06-29 17:30,16 Avos de Final,,1E,A definir
75,,,,,2026-06-29 22:00,16 Avos de Final,,1F,2C
78,,,,,2026-06-30 14:00,16 Avos de Final,,2E,2I
77,,,,,2026-06-30 18:00,16 Avos de Final,,1I,A definir
79,,,,,2026-06-30 22:00,16 Avos de Final,,1A,A definir
80,,,,,2026-07-01 13:00,16 Avos de Final,,1L,A definir
82,,,,,2026-07-01 17:00,16 Avos de Final,,1G,A definir
81,,,,,2026-07-01 21:00,16 Avos de Final,,1D,A definir
84,,,,,2026-07-02 16:00,16 Avos de Final,,1H,2J
83,,,,,2026-07-02 20:00,16 Avos de Final,,2K,2L
85,,,,,2026-07-03 00:00,16 Avos de Final,,1B,A definir
88,,,,,2026-07-03 15:00,16 Avos de Final,,2D,2G
86,,,,,2026-07-03 19:00,16 Avos de Final,,1J,2H
87,,,,,2026-07-03 22:30,16 Avos de Final,,1K,A definir
90,,,,,2026-07-04 14:00,Oitavas de Final,,W73,W75
89,,,,,2026-07-04 18:00,Oitavas de Final,,W74,W77
91,,,,,2026-07-05 17:00,Oitavas de Final,,W76,W78
92,,,,,2026-07-05 21:00,Oitavas de Final,,W79,W80
93,,,,,2026-07-06 16:00,Oitavas de Final,,W83,W84
94,,,,,2026-07-06 21:00,Oitavas de Final,,W81,W82
95,,,,,2026-07-07 13:00,Oitavas de Final,,W86,W88
96,,,,,2026-07-07 17:00,Oitavas de Final,,W85,W87
97,,,,,2026-07-09 17:00,Quartas de Final,,W89,W90
98,,,,,2026-07-10 16:00,Quartas de Final,,W93,W94
99,,,,,2026-07-11 18:00,Quartas de Final,,W91,W92
100,,,,,2026-07-11 22:00,Quartas de Final,,W95,W96
101,,,,,2026-07-14 16:00,Semifinais,,W97,W98
102,,,,,2026-07-15 16:00,Semifinais,,W99,W100
103,,,,,2026-07-18 18:00,Terceiro Lugar,,L101,L102
104,,,,,2026-07-19 16:00,Final,,W101,W102
